cellID	geneID	regionID	x	y	z	seeds	intensity	spot_id
111	Irx3	24	107.9413	103.8408	8.0000	3	702	34021
26	Pcgf2	124	52.4887	43.0920	20.0000	4	1674	90138
41	Apoa4	51	50.4660	15.2132	8.0000	3	1825	1711
282	Podxl	710	221.4419	46.7231	8.0000	4	694	52317
111	Col4a1	1693	110.8710	71.4439	8.0000	3	740	12805
42	Ttn	865	80.4729	159.0731	20.0000	4	794	98563
42	Sox4	154	213.9292	128.8021	20.0000	3	410	94482
111	Myh9	1404	101.0349	24.7885	8.0000	4	1813	44967
42	Tead2	332	188.0069	170.5622	20.0000	3	1968	96694
184	Bak1	162	148.5793	27.5708	8.0000	4	1950	3515
68	Tmem108	394	48.6530	163.1490	8.0000	4	1904	68090
118	Fli1	104	71.4064	10.3158	8.0000	4	767	21441
263	Icam2	6	203.2545	85.8750	8.0000	4	1102	32930
111	Gata5	527	108.6447	73.9891	8.0000	3	674	26021
111	Mef2c	194	184.7240	148.1466	8.0000	3	959	41680
101	Hand2	259	74.1949	39.7898	8.0000	4	2023	29559
166	Acvr1	53	117.9908	207.6708	8.0000	3	1220	121
30	Ep300	94	51.0156	90.7569	20.0000	3	1998	79473
120	Myb	1	79.3189	220.3905	8.0000	3	1975	43537
221	Col4a1	1472	171.1228	46.1883	8.0000	3	744	12584
146	Cd8a	24	96.1346	53.2158	8.0000	3	592	6944
289	Bmp7	273	223.6150	114.2186	8.0000	4	1776	5599
245	Ttn	764	196.7691	136.4769	8.0000	5	573	69266
42	Fgfr1	12	184.8866	210.9164	20.0000	4	543	80259
55	Dlk1	50	45.4100	211.2748	8.0000	3	950	13417
111	Smarcd3	23	184.5303	119.8031	8.0000	3	369	58590
81	Eng	380	60.1017	30.2693	8.0000	3	1107	16555
30	Ahnak	686	26.6162	122.4497	8.0000	4	575	1036
38	Gypc	35	41.9860	3.9410	8.0000	3	239	28137
111	Eng	579	127.2779	99.6142	8.0000	4	542	16754
225	Gata5	101	174.0879	95.7305	8.0000	3	1662	25595
157	Thbs1	292	113.7865	207.4413	8.0000	3	254	67118
243	Lef1	161	195.4974	223.0451	8.0000	4	1293	38533
151	Eng	59	106.4813	223.6728	8.0000	3	1199	16234
57	Col26a1	158	56.6057	104.5463	8.0000	3	671	10952
253	Gpc4	105	193.0724	171.9545	8.0000	3	1760	27620
63	Krt18	500	58.8795	186.4323	8.0000	4	188	37574
2	Dnmt3b	21	5.5063	22.7461	8.0000	4	299	15117
101	Mnt	48	197.3720	215.5871	20.0000	3	588	88231
111	Tcf7l1	15	95.4295	146.5503	8.0000	4	610	64397
67	Hcn4	155	84.3576	217.0079	20.0000	4	1820	84100
111	Irx1	318	197.6195	14.7598	8.0000	4	1580	33681
99	Mrap	5	195.9647	219.3329	20.0000	3	262	88290
21	Col1a1	1212	29.1444	105.1600	8.0000	4	172	10185
67	Furin	454	51.6308	147.3560	8.0000	4	2018	22686
34	Ep300	235	57.1592	148.1337	20.0000	4	1971	79614
30	Dnmt3a	154	55.7911	87.2706	20.0000	4	1649	78525
248	Podxl	14	197.5334	52.4932	8.0000	4	1796	51621
29	Podxl	579	55.6922	138.7407	20.0000	4	578	91452
107	Popdc2	231	76.6801	210.2382	8.0000	3	1764	53294
42	Dnmt3a	46	45.9394	137.8103	20.0000	3	610	78417
31	Ahnak	723	28.4443	40.3356	8.0000	3	152	1073
12	Podxl	211	38.3753	76.5898	20.0000	4	2040	91084
111	Perp	41	76.2695	148.2724	8.0000	4	1221	49997
111	Cers4	88	186.2603	26.8893	8.0000	4	1115	8561
192	Nebl	148	142.3087	50.2567	8.0000	3	592	45196
111	Fgfr1	371	95.3534	112.0880	8.0000	4	607	20702
27	Rgl1	58	53.8552	69.6188	20.0000	4	527	92608
156	Pdgfra	137	111.1354	53.8558	8.0000	4	1899	49576
133	Tcf7l1	378	92.6896	202.5478	8.0000	4	1904	64760
151	Col4a1	973	101.3609	224.4354	8.0000	4	1477	12085
